#SampleID	BarcodeSequence	LinkerPrimerSequence	FileInput	Source	Mouse	Cage	Genotype	SamplingWeek	Weight_g	Food_Intake_g	BMI_Type
100CHE6KO			100CHE6KO_S357_L001_R1_001.fastq	BZ	100		chemerin_KO	6	17	1.5	overweight
103CHE6KO			103CHE6KO_S302_L001_R1_001.fastq	BZ	103		chemerin_KO	6	16	2.4	normal
104CHE6KO			104CHE6KO_S313_L001_R1_001.fastq	BZ	104		chemerin_KO	6	15	3.3	normal
107CHE6KO			107CHE6KO_S347_L001_R1_001.fastq	BZ	107		chemerin_KO	6	17	4.4	normal
108CHE6KO			108CHE6KO_S358_L001_R1_001.fastq	BZ	108		chemerin_KO	6	18	2.3	overweight
111CHE6KO			111CHE6KO_S303_L001_R1_001.fastq	BZ	111		chemerin_KO	6	16	2.6	normal
112CHE6KO			112CHE6KO_S314_L001_R1_001.fastq	BZ	112		chemerin_KO	6	14	2.9	normal
115CHE6KO			115CHE6KO_S348_L001_R1_001.fastq	BZ	115		chemerin_KO	6	15	3.9	normal
116CHE6KO			116CHE6KO_S359_L001_R1_001.fastq	BZ	116		chemerin_KO	6	14	3.9	normal
83CHE6KO			83CHE6KO_S252_L001_R1_001.fastq	BZ	83		chemerin_KO	6	15	2.8	normal
84CHE6KO			84CHE6KO_S264_L001_R1_001.fastq	BZ	84		chemerin_KO	6	16	1.9	normal
87CHE6KO			87CHE6KO_S300_L001_R1_001.fastq	BZ	87		chemerin_KO	6	16	3	normal
88CHE6KO			88CHE6KO_S311_L001_R1_001.fastq	BZ	88		chemerin_KO	6	16	3	normal
91CHE6KO			91CHE6KO_S345_L001_R1_001.fastq	BZ	91		chemerin_KO	6	17	2.9	normal
92CHE6KO			92CHE6KO_S356_L001_R1_001.fastq	BZ	92		chemerin_KO	6	18	4.4	overweight
95CHE6KO			95CHE6KO_S301_L001_R1_001.fastq	BZ	95		chemerin_KO	6	19	3.4	overweight
96CHE6KO			96CHE6KO_S312_L001_R1_001.fastq	BZ	96		chemerin_KO	6	16	4.4	normal
99CHE6KO			99CHE6KO_S346_L001_R1_001.fastq	BZ	99		chemerin_KO	6	15	5.5	normal
13CMK6HET			13CMK6HET_S267_L001_R1_001.fastq	CJS	13		CMKLR1_HE	6	14	3.3	normal
15CMK6HET			15CMK6HET_S196_L001_R1_001.fastq	CJS	15		CMKLR1_HE	6	15	3.3	overweight
53CMK8HET			53CMK8HET_S272_L001_R1_001.fastq	CJS	53		CMKLR1_HE	8	16	3.4	overweight
55CMK8HET			55CMK8HET_S201_L001_R1_001.fastq	CJS	55		CMKLR1_HE	8	17	3.6	normal
10CMK6KO			10CMK6KO_S231_L001_R1_001.fastq	CJS	10		CMKLR1_KO	6	17	3.2	overweight
14CMK6KO			14CMK6KO_S279_L001_R1_001.fastq	CJS	14		CMKLR1_KO	6	17	2.9	overweight
16CMK6KO			16CMK6KO_S208_L001_R1_001.fastq	CJS	16		CMKLR1_KO	6	18	3.4	overweight
18CMK6KO			18CMK6KO_S232_L001_R1_001.fastq	CJS	18		CMKLR1_KO	6	18	5.5	overweight
20CMK6KO			20CMK6KO_S256_L001_R1_001.fastq	CJS	20		CMKLR1_KO	6	19	2.9	overweight
22CMK6KO			22CMK6KO_S280_L001_R1_001.fastq	CJS	22		CMKLR1_KO	6	19	3.3	overweight
24CMK6KO			24CMK6KO_S209_L001_R1_001.fastq	CJS	24		CMKLR1_KO	6	19	3.4	overweight
25CMK6KO			25CMK6KO_S221_L001_R1_001.fastq	CJS	25		CMKLR1_KO	6	17	4.4	overweight
28CMK6KO			28CMK6KO_S257_L001_R1_001.fastq	CJS	28		CMKLR1_KO	6	15	4.5	normal
2CMK6KO			2CMK6KO_S230_L001_R1_001.fastq	CJS	2		CMKLR1_KO	6	16	4.6	normal
30CMK6KO			30CMK6KO_S281_L001_R1_001.fastq	CJS	30		CMKLR1_KO	6	17	3.9	overweight
32CMK6KO			32CMK6KO_S210_L001_R1_001.fastq	CJS	32		CMKLR1_KO	6	18	2	overweight
34CMK6KO			34CMK6KO_S234_L001_R1_001.fastq	CJS	34		CMKLR1_KO	6	15	3	normal
35CMK6KO			35CMK6KO_S246_L001_R1_001.fastq	CJS	35		CMKLR1_KO	6	15	3.4	normal
38CMK6KO			38CMK6KO_S282_L001_R1_001.fastq	CJS	38		CMKLR1_KO	6	16	3.5	normal
39CMK6KO			39CMK6KO_S199_L001_R1_001.fastq	CJS	39		CMKLR1_KO	6	17	3.5	overweight
42CMK8KO			42CMK8KO_S235_L001_R1_001.fastq	CJS	42		CMKLR1_KO	8	18	3.8	overweight
44CMK8KO			44CMK8KO_S259_L001_R1_001.fastq	CJS	44		CMKLR1_KO	8	18	3.9	overweight
47CMK8KO			47CMK8KO_S200_L001_R1_001.fastq	CJS	47		CMKLR1_KO	8	17	3.8	overweight
48CMK8KO			48CMK8KO_S212_L001_R1_001.fastq	CJS	48		CMKLR1_KO	8	17	2	overweight
49CMK8KO			49CMK8KO_S224_L001_R1_001.fastq	CJS	49		CMKLR1_KO	8	16	2	normal
